geocode,bicycle,bus,car_van,foot,home,moto,other,taxi,train_metro
E92000001,742675,1886539,15610435,2701453,1349568,206550,162727,131465,2371309
W92000004,19659,62903,1011372,145135,73140,7694,8673,6523,28516
